Person,Tweet,NEREntityCount,LengthOfTweet,Relevance,Sentiment
Donald Trump,"RT @mtaibbi: Sanders comfortably wins Wyoming, but all four Superdelegates go to Clinton. ",2,90,2,1
Donald Trump,"My mom- ""Donald Trump's kids missed the deadline to vote in the primary, even his kids are dumbasses.""",2,102,1,1
Donald Trump,"RT @b4squiat: it's 1:23am and I'm thinkin about that pic of Donald Trump kissin a black baby and somebody said ""now we gotta throw the whol",2,139,2,1
Donald Trump,#NYT #news Barrage of Attack Ads Threatens to Undermine Donald Trump,2,69,2,1
Donald Trump,RT @NBCNightlyNews: New @NBCNews poll shows Donald Trump with sizable lead in New York. @HallieJackson joins us now #NBCNightlyNews,2,132,1,0
Donald Trump,RT @AllKnowA: We all know a dumbass named Donald Trump,2,54,1,1
Donald Trump,RT @rweingarten: #Awkward. Why Donald Trump's Kids Won't Be Voting for Him in New York's Primary. They forgot to register for Tues.,2,132,2,1
Donald Trump,:((( awwwwww!!!! ugh i wanna go to a bernie rally so bad,0,58,2,1
Donald Trump,"RT @TheGOPReport: Donald Trump is not causing the anger, the political establishment attempting to take away the voice of the people is cau",2,139,1,1
Donald Trump,RT @BlackPplVines: Donald Trump Anthem,3,39,2,0
Donald Trump,"RT @idontcare: Donald Trump is racist, sexist and exploiting country",3,80,1,1
Donald Trump,"RT @AlondraGangsta: Just noticed that in the little rascals , Donald trump is this Little niggas dad ! Wtf  ",2,108,2,1
Donald Trump,"RT @MARILYNLEVINso1: @rescuetracker81 @lorrik24 @WNPolitics SURPRISE  SURPRISE! !!!   DUH? ??!?!!??  AMERICA, PLEASE VOTE FOR DONALD TRUMP!",2,139,1,0
Donald Trump,RT @CatRN4U: AP Poll: 86% of Republicans Think Donald Trump Can Win General Election - Breitbart,3,97,1,0
Donald Trump,RT @RichardJSunkle: (2014) Donald Trump Says He'll Run For NY Governor If Republicans Unify Behind Him  Didn't want,2,115,2,0
Donald Trump,"RT @idontcare: Asshole Donald Trump owes this country a lot and is exploiting it",2,67,1,1
Donald Trump,RT @SOMEXlCAN: Donald Trump's kids didn't register in time to vote for him in New York's primary. Trump stay taking L's,3,120,2,1
Donald Trump,"RT @basedmattforney: 20,000+ people here to see Donald Trump in Albany! #NYPrimary #MakeAmericaGreatAgain ",2,106,1,0
Donald Trump,RT @AlliieeWarsaww: Who would you rather have for president? RT for Delores Umbridge. Fav for Donald Trump,4,107,1,0
Donald Trump,"RT @ABC: Donald Trump's kids miss deadline to vote in NY primary. ""They were unaware of the rules.""  ",2,101,2,0
Donald Trump,RT @Ktcarang: Punish three elementary school girls?! Get a grip.,1,67,2,1
Donald Trump,RT @luvinlife1967: #OnlyTrump I will write in Trump in Nov if it comes to it. I doubt it will. We voters will expose the corruption.,0,133,2,0
Donald Trump,Piers Morgan defends Donald Trump's policy on IS...,2,53,1,0
Donald Trump,RT @DailyRapFacts: .@fucktyler reveals anti-Donald Trump t-shirt,2,65,1,1
Donald Trump,Donald Trump Surrogate Paul Manafort Claims Ted Cruz Campaign Using 'Gestapo Tactics' (VIDEO),7,94,2,0
Donald Trump,RT @townhallcom: Precious Snowflakes Wanted To Oust Student Senator Because She Supports Donald Trump,2,102,1,1
Donald Trump,RT @TheRightGirl585: .@realDonaldTrump Tries Art of Intimidation! Trump giving nomination to Hillary! #NYPrimary #DonaldsDisorder #VOAV htt,2,139,2,0
Donald Trump,RT @Brittany0180: Wow so many pictures of Donald Trump,2,55,1,0
Donald Trump,Donald Trump  doing well in CALIFORNIA,2,39,1,0
Donald Trump,"RT @PolitiBunny: While conservative activists were organizing in Colorado for months, Trumps campaign never got off the ground ",1,129,2,1
Donald Trump,Too busy getting ready for the purge huh?,0,43,1,1
Donald Trump,RT @LissetteDtfjdb: No offense but if you're voting for donald trump you're an idiot. The no offense part was a joke. Take offense please.,0,138,1,1
Donald Trump,"LOL, Anonymous. You have no ""inside facts."" You're a Sock Puppet. Here's the lawsuit Donnie lost twice  @sohali2012",1,115,2,1
Donald Trump,RT @HouseCracka: DONALD TRUMP IN PITTSBURGH PAWEDNESDAY!!!!!TICKETS:,2,74,2,0
Donald Trump,RT @WhiteLightnin55: The People's Last Stand!  Donald J Trump,3,62,1,0
Donald Trump,"Is there a Donald Trump Twitter App, so I can talk off the cuff.",4,64,2,0
Donald Trump,RT @13WHAM: Fact-checking Donald Trump's speech in Rochester  #13WHAM,2,69,2,0
Donald Trump,@thehill Bad role models like Fred &amp; Donald #trump are poisoning the youth.,2,79,1,1
Donald Trump,RT @edmecka: Yes Donald Trump is on track to get at least 1310 delegates by June #Trump2016  via @edmecka,2,105,1,0
Donald Trump,RT @Blazingcatfur: Judge Jeanine Pirro Opening Statement  Donald Trump Vs Establishment  Election 2016,4,103,2,0
Donald Trump,"@benshapiro that's why we are having so much fun with the RNC being so rear end hurt over Trump. Fact is that Donald is winning, it's great.",2,140,1,0
